adjustment_source,forecast_source,projection_label,segment_id,segment_name,year,value_type,employment_auto,employment_raw,auto_share_ratio,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2015,QCEW,66784,66784,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2015,QCEW,45930,45930,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2016,QCEW,23739.79796,81235,0.29223608,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2016,QCEW,6427.853245,53396,0.120380801,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2016,QCEW,10023.45172,18194,0.550920728,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2016,QCEW,16367.76462,52458,0.312016558,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2016,QCEW,4955.65388,16542,0.299580092,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2016,QCEW,974.8572872,121842,0.008000995,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2016,QCEW,173344,173344,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2016,QCEW,105625.1859,105625.1859,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2016,QCEW,68358,68358,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2016,QCEW,46900,46900,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2017,QCEW,24108.82173,82226,0.293201928,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2017,QCEW,6570.844634,54519,0.120523939,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2017,QCEW,10197.75072,18552,0.549684709,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2017,QCEW,16139.39663,52257,0.308846597,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2017,QCEW,5074.521584,16794,0.302162771,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2017,QCEW,948.5175797,113721,0.008340743,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2017,QCEW,180711,180711,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2017,QCEW,107098.9302,107098.9302,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2017,QCEW,68500,68500,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2017,QCEW,46723,46723,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2018,QCEW,24548.64085,83724,0.293209126,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2018,QCEW,6739.387338,55424,0.121596914,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2018,QCEW,10595.13614,19277,0.549625779,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2018,QCEW,16414.67444,53718,0.305571213,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2018,QCEW,5353.222206,17376,0.308081388,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2018,QCEW,975.529221,116698,0.008359434,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2018,QCEW,182995,182995,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2018,QCEW,110520.0778,110520.0778,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2018,QCEW,68540,68540,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2018,QCEW,47502,47502,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2019,QCEW,24426.35337,83591,0.292212719,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2019,QCEW,6576.70413,53502,0.122924454,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2019,QCEW,10542.21836,19271,0.547050924,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2019,QCEW,15908.69373,52591,0.302498407,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2019,QCEW,5780.272514,18237,0.316953036,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2019,QCEW,972.141431,118343,0.008214609,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2019,QCEW,180821,180821,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2019,QCEW,111801.6657,111801.6657,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2019,QCEW,68868,68868,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2019,QCEW,48382,48382,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2020,QCEW,20793.90897,70950,0.293078351,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2020,QCEW,6069.646603,48267,0.125751478,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2020,QCEW,8708.642444,15883,0.548299594,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2020,QCEW,13677.9739,45730,0.299102862,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2020,QCEW,5449.419588,16885,0.322737316,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2020,QCEW,947.1381094,115403,0.008207223,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2020,QCEW,154727,154727,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2020,QCEW,103058.2354,103058.2354,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2020,QCEW,62425,62425,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2020,QCEW,44778,44778,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2021,QCEW,21220.81779,72517,0.292632318,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2021,QCEW,6132.49678,48420,0.126652143,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2021,QCEW,8863.944357,16199,0.547190836,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2021,QCEW,14221.98047,47346,0.300383992,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2021,QCEW,5536.350019,17142,0.3229699,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2021,QCEW,980.8345274,119483,0.008208988,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2021,QCEW,174869,174869,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2021,QCEW,105546.6236,105546.6236,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2021,QCEW,66198,66198,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2021,QCEW,46770,46770,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2022,QCEW,21422.17723,73289,0.292297306,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2022,QCEW,6324.972447,48839,0.129506592,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2022,QCEW,9215.777438,16746,0.550327089,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2022,QCEW,14548.30636,48605,0.299317073,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2022,QCEW,5902.349733,17979,0.328291325,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2022,QCEW,1002.835428,122404,0.008192832,,,,
