ReceivingCode,ReceivingDescription,total_industry_output,auto_attributed_output,auto_share_of_output
296,Semiconductor and related device manufacturing,17330801.0402409,5846355.48016775,0.33733902239099767
135,All other miscellaneous wood product manufacturing,165550648.24199396,5606849.199309501,0.033867878252664275
295,Bare printed circuit board manufacturing,11846945.776165,5501069.537033994,0.4643449578457307
116,Other textile product mills,14016385.6381901,5217767.892077868,0.3722620101048836
269,Rolling mill and other metalworking machinery manufacturing,165636479.243612,4918050.849986891,0.029691834023793783
213,"Aluminum sheet, plate, and foil manufacturing",12661372.839248,4632637.532443328,0.3658874587503637
414,Cable and other subscription programming,1095450151.041,4622124.900721693,0.004219384055339547
321,Wiring device manufacturing,8313019.5301944,4056627.774830889,0.48798487241567023
138,Paperboard mills,103014053.0672016,4056274.2316752914,0.03937593086478372
495,Car washes,919870670.9,4047887.3834059997,0.004400496190889044
177,Other miscellaneous chemical product manufacturing,117364215.2272428,3922719.409836345,0.03342347070818053
155,Other basic organic chemical manufacturing,212839820.569889,3754753.0208041007,0.017641214932199088
286,"Scales, balances, and miscellaneous general purpose machinery manufacturing",37763207.805314004,3584660.095726384,0.09492467150054858
386,Retail - Furniture and home furnishings stores,2202828137.4,3469401.3856893643,0.001574975971472882
137,Paper mills,409256754.60602504,3166899.783463613,0.007738173525107141
407,Book publishers,540568301.4987999,2944035.9870657846,0.005446186872043811
325,Heavy duty truck manufacturing,95151424.76712,2855487.6135359867,0.030009930177343106
479,Commercial Sports Except Racing,1186913117.0,2827009.9209048813,0.0023818170685065243
493,All other food and drinking places,6103041443.0,2824551.097825293,0.00046281040759848775
265,Industrial mold manufacturing,175038064.32572,2770313.725651016,0.01582692162600628
154,Other basic inorganic chemical manufacturing,182840062.03273588,2641793.816750803,0.014448659595607736
393,"Retail - Sporting goods, hobby, musical instrument and book stores",1630201186.7,2568157.0373711335,0.0015753620217697352
481,"Independent artists, writers, and performers",593076783.92,2490774.8028325676,0.004199750977216717
401,Pipeline transportation,876495443.3,2416841.0567408595,0.002757391467594478
501,Dry-cleaning and laundry services,834235126.8392,2368110.990402225,0.002838661324864928
406,Periodical publishers,348269619.53352,2313150.4721203987,0.006641838226425501
151,Petrochemical manufacturing,441414169.13689995,2284884.9359388845,0.005176283625889344
210,Steel wire drawing,34323834.7700756,2171400.51787098,0.06326217721348731
