Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
,,3372,,,3448006.4567669267,127771011.35665914,0.0269858273810026
,,3121,,,8695856.380125612,351503216.4685581,0.024739052084615718
,,2111,,,13422596.433025844,550317095.1186595,0.024390658680395274
,,7115,,,16430381.842922889,709149574.397283,0.02316913446205946
,,2131,,,843392.019842954,39287833.33447215,0.02146700258736183
,,5122,,,2973032.2169547277,164506364.33175796,0.01807244497215348
,,7223,,,13983833.125652943,782700257.4336699,0.017866140956058145
,,7224,,,4885861.637869615,274098786.7275004,0.01782518520494938
,,3112,,,7789119.824357094,540332919.3693038,0.01441540862150105
,,3254,,,6821642.508407208,504433403.56452477,0.01352337585140635
,,3119,,,2742220.5790121956,231580675.80053005,0.011841318665872548
,,4862,,,4805378.257404041,408526089.27549917,0.01176272062801703
,,3342,,,557672.281750705,47846894.28745687,0.01165534963252358
,,3111,,,1430096.5191699807,123143953.881376,0.011613209370779065
,,4861,,,1245232.240825816,108236318.21920106,0.011504754238812538
,,3116,,,7704029.291648909,734502616.6393509,0.010488770383008281
,,4869,,,337805.6256548682,37768212.34007935,0.008944178310933486
,,5615,,,2604891.767851787,348394057.3284497,0.007476854765625397
,,5121,,,1857394.082759987,323205861.2576548,0.005746783413928563
,,8121,,,230303.83319502973,42657457.87428159,0.005398911343328809
,,3253,,,463378.701462008,103424171.72834358,0.004480371403690132
,,3113,,,313436.69743387826,71082383.69432032,0.004409484898280398
,,6212,,,11064.406095285109,2591191.541710948,0.00427000702849599
,,vl|2,,,189387700.0694843,49654153967.94385,0.003814136077955347
,,3117,,,119998.47862079409,33899233.70992771,0.0035398581468716627
,,vl|3,,,71659565.016241,29979625850.243534,0.0023902754949044463
,,3115,,,1248558.9891204413,648715240.5471475,0.0019246641840376156
,,1110,,,2208671.778320891,1385073944.3820527,0.0015946237291369193
,,3114,,,245464.0729386189,185642015.01647532,0.0013222441747189314
,,5251,,,5463.719525125642,4618249.031533599,0.0011830716550405
,,6219,,,397488.59793427435,382159670.69729996,0.001040111315798982
,,5259,,,33174.39481500145,40277969.459047616,0.0008236362274600589
,,6215,,,148835.83795981354,187355570.48085877,0.0007944030571272467
,,1153,,,6994.153333187784,28161287.55790653,0.0002483605665687723
,,1152,,,11669.958169452182,47921940.10062523,0.00024352015266802452
,,1151,,,39754.52035531982,214926136.80417266,0.00018496829164868706
,,1120,,,60956.90175445414,1084439669.9480765,5.621050524403334e-05
,,1141,,,0.0,30434157.20253322,0.0
,,8141,,,0.0,0.0,0.0
,,1142,,,0.0,15841851.279288417,0.0
,,GFE,,,0.0,0.0,0.0
,,GSLE,,,0.0,0.0,0.0
,,nan,,,0.0,0.0,0.0
,,vl|9,,,0.0,811439941.1193001,0.0
