segment_id,segment_name,year,adjustment_source,forecast_source,value_type,employment_qcew
9,"Dealers, Maintenance, & Repair",2032,sam_mi,dtmb_mi,Forecast,69164.17651679605
10,Logistics,2032,sam_mi,dtmb_mi,Forecast,47703.498549309945
1,Materials & Processing - Coatings & Surface Treatments,2033,sam_mi,dtmb_mi,Forecast,4804.237341467215
1,Materials & Processing - Metals,2033,sam_mi,dtmb_mi,Forecast,3137.0645250944863
1,Materials & Processing - Non-Metals,2033,sam_mi,dtmb_mi,Forecast,12636.300235703062
2,Equipment Manufacturing,2033,sam_mi,dtmb_mi,Forecast,6076.744006778264
3,Forging & Foundries,2033,sam_mi,dtmb_mi,Forecast,8460.953369719082
4,Parts & Machining,2033,sam_mi,dtmb_mi,Forecast,14528.903244927795
5,Component Systems,2033,sam_mi,dtmb_mi,Forecast,6110.559486339264
6,Engineering & Design,2033,sam_mi,dtmb_mi,Forecast,1111.5397326154991
7,Core Automotive,2033,sam_mi,dtmb_mi,Forecast,165096.38749912038
8,"Motor Vehicle Parts, Materials, & Products Sales",2033,sam_mi,dtmb_mi,Forecast,112683.04934741207
9,"Dealers, Maintenance, & Repair",2033,sam_mi,dtmb_mi,Forecast,69109.96852998188
10,Logistics,2033,sam_mi,dtmb_mi,Forecast,47806.30068311408
1,Materials & Processing - Coatings & Surface Treatments,2034,sam_mi,dtmb_mi,Forecast,4796.126630376442
1,Materials & Processing - Metals,2034,sam_mi,dtmb_mi,Forecast,3110.905875175336
1,Materials & Processing - Non-Metals,2034,sam_mi,dtmb_mi,Forecast,12598.154758443452
2,Equipment Manufacturing,2034,sam_mi,dtmb_mi,Forecast,6058.375524579186
3,Forging & Foundries,2034,sam_mi,dtmb_mi,Forecast,8400.833872066105
4,Parts & Machining,2034,sam_mi,dtmb_mi,Forecast,14484.862749895236
5,Component Systems,2034,sam_mi,dtmb_mi,Forecast,6125.690507167301
6,Engineering & Design,2034,sam_mi,dtmb_mi,Forecast,1120.976264625407
7,Core Automotive,2034,sam_mi,dtmb_mi,Forecast,164232.1581833225
8,"Motor Vehicle Parts, Materials, & Products Sales",2034,sam_mi,dtmb_mi,Forecast,112394.36339222713
9,"Dealers, Maintenance, & Repair",2034,sam_mi,dtmb_mi,Forecast,69055.8202786607
10,Logistics,2034,sam_mi,dtmb_mi,Forecast,47909.32435787508
1,Materials & Processing - Coatings & Surface Treatments,2024,sam_mi,moodys_mi,QCEW,4879.641192022313
1,Materials & Processing - Metals,2024,sam_mi,moodys_mi,QCEW,3382.6158243114137
1,Materials & Processing - Non-Metals,2024,sam_mi,moodys_mi,QCEW,12985.411769331364
2,Equipment Manufacturing,2024,sam_mi,moodys_mi,QCEW,6244.586842570626
3,Forging & Foundries,2024,sam_mi,moodys_mi,QCEW,9023.139594640334
4,Parts & Machining,2024,sam_mi,moodys_mi,QCEW,14936.444494648236
5,Component Systems,2024,sam_mi,moodys_mi,QCEW,5987.024880706003
6,Engineering & Design,2024,sam_mi,moodys_mi,QCEW,1032.0255054257461
7,Core Automotive,2024,sam_mi,moodys_mi,QCEW,173082.0
8,"Motor Vehicle Parts, Materials, & Products Sales",2024,sam_mi,moodys_mi,QCEW,115340.0
9,"Dealers, Maintenance, & Repair",2024,sam_mi,moodys_mi,QCEW,69600.0
10,Logistics,2024,sam_mi,moodys_mi,QCEW,46889.0
1,Materials & Processing - Coatings & Surface Treatments,2025,sam_mi,moodys_mi,Forecast,4864.991588622459
1,Materials & Processing - Metals,2025,sam_mi,moodys_mi,Forecast,3291.955153854659
1,Materials & Processing - Non-Metals,2025,sam_mi,moodys_mi,Forecast,12812.059110409897
2,Equipment Manufacturing,2025,sam_mi,moodys_mi,Forecast,6220.674290659645
3,Forging & Foundries,2025,sam_mi,moodys_mi,Forecast,8737.179650568889
4,Parts & Machining,2025,sam_mi,moodys_mi,Forecast,14812.074605274445
5,Component Systems,2025,sam_mi,moodys_mi,Forecast,5966.70995301161
6,Engineering & Design,2025,sam_mi,moodys_mi,Forecast,1034.5823748426708
7,Core Automotive,2025,sam_mi,moodys_mi,Forecast,173104.77264804108
8,"Motor Vehicle Parts, Materials, & Products Sales",2025,sam_mi,moodys_mi,Forecast,115605.17332840526
9,"Dealers, Maintenance, & Repair",2025,sam_mi,moodys_mi,Forecast,69941.22975540171
10,Logistics,2025,sam_mi,moodys_mi,Forecast,45983.58771206747
1,Materials & Processing - Coatings & Surface Treatments,2026,sam_mi,moodys_mi,Forecast,4850.419223372392
1,Materials & Processing - Metals,2026,sam_mi,moodys_mi,Forecast,3203.7923010978957
1,Materials & Processing - Non-Metals,2026,sam_mi,moodys_mi,Forecast,12641.406326502487
2,Equipment Manufacturing,2026,sam_mi,moodys_mi,Forecast,6197.192784442233
3,Forging & Foundries,2026,sam_mi,moodys_mi,Forecast,8462.660019978253
4,Parts & Machining,2026,sam_mi,moodys_mi,Forecast,14688.97710447829
5,Component Systems,2026,sam_mi,moodys_mi,Forecast,5946.634050479275
6,Engineering & Design,2026,sam_mi,moodys_mi,Forecast,1037.1705438573558
7,Core Automotive,2026,sam_mi,moodys_mi,Forecast,173240.68614815656
8,"Motor Vehicle Parts, Materials, & Products Sales",2026,sam_mi,moodys_mi,Forecast,115872.0162791881
9,"Dealers, Maintenance, & Repair",2026,sam_mi,moodys_mi,Forecast,70285.65812432465
10,Logistics,2026,sam_mi,moodys_mi,Forecast,45096.50958909716
1,Materials & Processing - Coatings & Surface Treatments,2027,sam_mi,moodys_mi,Forecast,4835.923679058998
1,Materials & Processing - Metals,2027,sam_mi,moodys_mi,Forecast,3118.056916084811
1,Materials & Processing - Non-Metals,2027,sam_mi,moodys_mi,Forecast,12473.405032081657
2,Equipment Manufacturing,2027,sam_mi,moodys_mi,Forecast,6174.136728979456
3,Forging & Foundries,2027,sam_mi,moodys_mi,Forecast,8199.100336038842
4,Parts & Machining,2027,sam_mi,moodys_mi,Forecast,14567.13812015978
5,Component Systems,2027,sam_mi,moodys_mi,Forecast,5926.795657262751
6,Engineering & Design,2027,sam_mi,moodys_mi,Forecast,1039.7902800628963
7,Core Automotive,2027,sam_mi,moodys_mi,Forecast,173492.49409221835
8,"Motor Vehicle Parts, Materials, & Products Sales",2027,sam_mi,moodys_mi,Forecast,116140.53188327418
9,"Dealers, Maintenance, & Repair",2027,sam_mi,moodys_mi,Forecast,70633.3171767541
10,Logistics,2027,sam_mi,moodys_mi,Forecast,44227.37451650444
1,Materials & Processing - Coatings & Surface Treatments,2028,sam_mi,moodys_mi,Forecast,4821.504540724506
1,Materials & Processing - Metals,2028,sam_mi,moodys_mi,Forecast,3034.680664278101
1,Materials & Processing - Non-Metals,2028,sam_mi,moodys_mi,Forecast,12308.007801673124
2,Equipment Manufacturing,2028,sam_mi,moodys_mi,Forecast,6151.500604914678
3,Forging & Foundries,2028,sam_mi,moodys_mi,Forecast,7946.040573360125
4,Parts & Machining,2028,sam_mi,moodys_mi,Forecast,14446.543934807676
5,Component Systems,2028,sam_mi,moodys_mi,Forecast,5907.19327008923
6,Engineering & Design,2028,sam_mi,moodys_mi,Forecast,1042.4418547275588
7,Core Automotive,2028,sam_mi,moodys_mi,Forecast,173863.0940095476
8,"Motor Vehicle Parts, Materials, & Products Sales",2028,sam_mi,moodys_mi,Forecast,116410.72324332835
9,"Dealers, Maintenance, & Repair",2028,sam_mi,moodys_mi,Forecast,70984.23930570896
10,Logistics,2028,sam_mi,moodys_mi,Forecast,43375.800165026856
