series_id,year,employment,naics_code,segment_id,segment_name,stage,segment_label
ENU260001053313,2006,1713.0,3313,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053314,2006,2184.0,3314,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053315,2006,13857.0,3315,3,Forging & Foundries,Upstream,3. Forging & Foundries
ENU260001053328,2006,15555.0,3328,1,Materials & Processing - Coatings & Surface Treatments,Upstream,1. Materials & Processing
ENU260001053335,2006,38592.0,3335,2,Equipment Manufacturing,Upstream,2. Equipment Manufacturing
ENU260001053339,2006,15746.0,3339,2,Equipment Manufacturing,Upstream,2. Equipment Manufacturing
ENU260001053321,2006,7025.0,3321,3,Forging & Foundries,Upstream,3. Forging & Foundries
ENU260001053326,2006,3114.0,3326,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053327,2006,28487.0,3327,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053329,2006,11531.0,3329,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053344,2006,6932.0,3344,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053336,2006,4389.0,3336,5,Component Systems,Upstream,5. Component Systems
ENU260001053345,2006,9616.0,3345,5,Component Systems,Upstream,5. Component Systems
ENU260001053359,2006,1809.0,3359,5,Component Systems,Upstream,5. Component Systems
ENU260001055413,2006,67009.0,5413,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001055414,2006,4543.0,5414,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001055417,2006,23958.0,5417,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001053361,2006,59006.0,3361,7,Core Automotive,OEM,7. Core Automotive
ENU260001053362,2006,8904.0,3362,7,Core Automotive,OEM,7. Core Automotive
ENU260001053363,2006,145983.0,3363,7,Core Automotive,OEM,7. Core Automotive
ENU260001054231,2006,19424.0,4231,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054235,2006,7099.0,4235,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054238,2006,23770.0,4238,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054239,2006,6929.0,4239,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054247,2006,2931.0,4247,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054413,2006,13224.0,4413,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054571,2006,25452.07436879476,4571,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054411,2006,39677.0,4411,9,"Dealers, Maintenance, & Repair",Downstream,"9. Dealers, Maintenance, & Repair"
ENU260001058111,2006,29207.0,8111,9,"Dealers, Maintenance, & Repair",Downstream,"9. Dealers, Maintenance, & Repair"
ENU260001054841,2006,27533.0,4841,10,Logistics,Downstream,10. Logistics
ENU260001054842,2006,11232.0,4842,10,Logistics,Downstream,10. Logistics
ENU260001053252,2007,6779.0,3252,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053255,2007,3260.0,3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,1. Materials & Processing
ENU260001053261,2007,34146.0,3261,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053262,2007,4864.0,3262,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053272,2007,5640.0,3272,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053311,2007,5937.0,3311,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053312,2007,2379.0,3312,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053313,2007,1731.0,3313,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053314,2007,2105.0,3314,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053315,2007,12652.0,3315,3,Forging & Foundries,Upstream,3. Forging & Foundries
ENU260001053328,2007,15298.0,3328,1,Materials & Processing - Coatings & Surface Treatments,Upstream,1. Materials & Processing
ENU260001053335,2007,36126.0,3335,2,Equipment Manufacturing,Upstream,2. Equipment Manufacturing
ENU260001053339,2007,15059.0,3339,2,Equipment Manufacturing,Upstream,2. Equipment Manufacturing
ENU260001053321,2007,7112.0,3321,3,Forging & Foundries,Upstream,3. Forging & Foundries
ENU260001053326,2007,2953.0,3326,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053327,2007,27591.0,3327,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053329,2007,10537.0,3329,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053344,2007,7144.0,3344,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053336,2007,4174.0,3336,5,Component Systems,Upstream,5. Component Systems
ENU260001053345,2007,9745.0,3345,5,Component Systems,Upstream,5. Component Systems
ENU260001053359,2007,1832.0,3359,5,Component Systems,Upstream,5. Component Systems
ENU260001055413,2007,66272.0,5413,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001055414,2007,4723.0,5414,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001055417,2007,22225.0,5417,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001053361,2007,58574.0,3361,7,Core Automotive,OEM,7. Core Automotive
ENU260001053362,2007,8837.0,3362,7,Core Automotive,OEM,7. Core Automotive
ENU260001053363,2007,130657.0,3363,7,Core Automotive,OEM,7. Core Automotive
ENU260001054231,2007,19086.0,4231,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054235,2007,6898.0,4235,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054238,2007,23795.0,4238,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054239,2007,7008.0,4239,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054247,2007,2805.0,4247,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054413,2007,13006.0,4413,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054571,2007,24617.685000101726,4571,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
